Ref,Val,Package,PosX,PosY,Rot,Side
"R92","33","R_0402_1005Metric",166.860000,-187.212000,0.000000,bottom
"R93","33","R_0402_1005Metric",153.030000,-162.856000,0.000000,bottom
"R94","33","R_0402_1005Metric",144.880000,-184.290000,180.000000,bottom
"R95","33","R_0402_1005Metric",153.030000,-161.842000,0.000000,bottom
"R96","33","R_0402_1005Metric",144.880000,-185.292000,180.000000,bottom
"R97","33","R_0402_1005Metric",153.030000,-160.828000,0.000000,bottom
"R98","33","R_0402_1005Metric",144.880000,-186.294000,180.000000,bottom
"R99","33","R_0402_1005Metric",153.030000,-159.814000,0.000000,bottom
"R100","33","R_0402_1005Metric",144.880000,-187.296000,180.000000,bottom
"R101","33","R_0402_1005Metric",153.030000,-158.800000,0.000000,bottom
"R102","33","R_0402_1005Metric",144.880000,-188.298000,180.000000,bottom
"R103","2k","R_0402_1005Metric",153.250000,-165.375000,0.000000,bottom
"R104","2k","R_0402_1005Metric",145.350000,-191.625000,-90.000000,bottom
"R105","2k","R_0402_1005Metric",175.160000,-191.150000,180.000000,bottom
"R106","33","R_0402_1005Metric",175.140000,-189.832000,0.000000,bottom
"R107","33","R_0402_1005Metric",175.140000,-188.830000,0.000000,bottom
"R108","33","R_0402_1005Metric",175.140000,-187.828000,0.000000,bottom
"R109","33","R_0402_1005Metric",175.140000,-186.826000,0.000000,bottom
"R110","33","R_0402_1005Metric",175.140000,-185.824000,0.000000,bottom
"R111","33","R_0402_1005Metric",188.620000,-161.082000,0.000000,bottom
"R112","33","R_0402_1005Metric",166.450000,-164.750000,180.000000,bottom
"R113","33","R_0402_1005Metric",188.610000,-160.094000,0.000000,bottom
"R114","33","R_0402_1005Metric",166.450000,-163.740000,180.000000,bottom
"R115","33","R_0402_1005Metric",188.610000,-159.086000,0.000000,bottom
"R116","33","R_0402_1005Metric",166.450000,-162.730000,180.000000,bottom
"R117","33","R_0402_1005Metric",188.610000,-158.078000,0.000000,bottom
"R118","33","R_0402_1005Metric",166.450000,-161.720000,180.000000,bottom
"R119","33","R_0402_1005Metric",188.610000,-157.070000,0.000000,bottom
"R120","33","R_0402_1005Metric",166.450000,-160.720000,180.000000,bottom
"R121","2k","R_0402_1005Metric",188.620000,-171.000000,0.000000,bottom
"R122","2k","R_0402_1005Metric",168.820000,-163.020000,90.000000,bottom
"R123","2k","R_0402_1005Metric",210.075000,-175.075000,180.000000,bottom
"R124","33","R_0402_1005Metric",214.926000,-181.600000,90.000000,bottom
"R125","33","R_0402_1005Metric",213.922000,-181.600000,90.000000,bottom
"R126","33","R_0402_1005Metric",212.918000,-181.600000,90.000000,bottom
"R127","33","R_0402_1005Metric",211.914000,-181.600000,90.000000,bottom
"R128","33","R_0402_1005Metric",210.910000,-181.600000,90.000000,bottom
"R129","33","R_0402_1005Metric",196.550000,-174.630000,180.000000,bottom
"R130","33","R_0402_1005Metric",196.550000,-175.638000,180.000000,bottom
"R131","33","R_0402_1005Metric",196.550000,-176.646000,180.000000,bottom
"R132","33","R_0402_1005Metric",196.550000,-177.654000,180.000000,bottom
"R133","33","R_0402_1005Metric",196.550000,-178.662000,180.000000,bottom
"R134","2k","R_0402_1005Metric",197.100000,-165.875000,-90.000000,bottom
"R135","33","R_0402_1005Metric",225.850000,-164.400000,0.000000,bottom
"R136","33","R_0402_1005Metric",225.850000,-163.100000,0.000000,bottom
"R137","33","R_0402_1005Metric",219.650000,-164.000000,-90.000000,bottom
"R138","33","R_0402_1005Metric",225.850000,-161.750000,0.000000,bottom
"U5","25MHz","SMD3225-4P",220.830000,-167.260000,180.000000,bottom
"U28","MCP1824T-1202E/OT","SOT-23-5",128.820000,-163.667500,-90.000000,bottom
"U29","MCP1824T-1202E/OT","SOT-23-5",129.470000,-177.382500,-90.000000,bottom
"U30","MCP1824T-1202E/OT","SOT-23-5",129.340000,-191.142500,-90.000000,bottom
"U32","MCP1824T-0802E","SOT-23-5",129.910000,-158.367500,-90.000000,bottom
"U42","MCP1824T-0802E","SOT-23-5",129.490000,-172.292500,-90.000000,bottom
"U43","MCP1824T-0802E","SOT-23-5",129.700000,-185.352500,-90.000000,bottom
"U48","MCP1824T-1202E/OT","SOT-23-5",150.797500,-187.647500,-90.000000,bottom
"U49","MCP1824T-1202E/OT","SOT-23-5",150.520000,-173.832500,-90.000000,bottom
"U50","MCP1824T-1202E/OT","SOT-23-5",150.920000,-155.972500,-90.000000,bottom
"U51","MCP1824T-0802E","SOT-23-5",153.300000,-192.547500,-90.000000,bottom
"U52","MCP1824T-0802E","SOT-23-5",167.010000,-173.860000,90.000000,bottom
"U53","MCP1824T-0802E","SOT-23-5",148.690000,-161.832500,-90.000000,bottom
"U57","MCP1824T-1202E/OT","SOT-23-5",193.802500,-160.912500,90.000000,bottom
"U58","MCP1824T-1202E/OT","SOT-23-5",174.300000,-173.637500,-90.000000,bottom
"U59","MCP1824T-1202E/OT","SOT-23-5",171.600000,-188.197500,-90.000000,bottom
"U60","MCP1824T-0802E","SOT-23-5",172.297500,-160.852500,-90.000000,bottom
"U61","MCP1824T-0802E","SOT-23-5",189.308749,-173.691249,90.000000,bottom
"U62","MCP1824T-0802E","SOT-23-5",171.600000,-193.002500,-90.000000,bottom
"U66","MCP1824T-1202E/OT","SOT-23-5",213.670000,-190.962500,90.000000,bottom
